"x","y","hosts","mammals","pig","cattle","bovliv","mmb","builtup","energy","trans","agriharv","pollution","forest_integrity_grantham","hewson_forest_transition_potential","pop_2020_worldpop","motor_travel_time_weiss"
106.625,32.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
106.875,32.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki"
107.125,32.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki"
105.875,32.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
106.125,32.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
106.375,32.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
106.625,32.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
106.875,32.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki"
107.125,32.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","khaki","khaki","khaki"
107.375,32.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","khaki","khaki","khaki"
107.625,32.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","khaki","khaki","khaki"
105.375,32.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
105.625,32.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
105.875,32.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
106.125,32.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
106.375,32.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
106.625,32.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
106.875,32.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","khaki","khaki","royalblue3"
107.125,32.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","khaki","khaki","khaki"
107.375,32.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","khaki","khaki","khaki"
107.625,32.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","khaki","khaki","khaki"
107.875,32.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","khaki","khaki","khaki"
104.875,31.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
105.125,31.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
105.375,31.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","violetred4","khaki","royalblue3"
105.625,31.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","violetred4","khaki","royalblue3"
105.875,31.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","khaki","violetred4","khaki","royalblue3"
106.125,31.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","khaki","violetred4","khaki","royalblue3"
106.375,31.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
106.625,31.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
106.875,31.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","khaki","khaki","royalblue3"
107.125,31.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","khaki","khaki","royalblue3"
107.375,31.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","khaki","khaki","royalblue3"
107.625,31.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","khaki","khaki","royalblue3"
107.875,31.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","khaki","khaki","royalblue3"
108.125,31.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","khaki","khaki","khaki"
104.625,31.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","violetred4","violetred4","violetred4","khaki","khaki","royalblue3"
104.875,31.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","violetred4","khaki","violetred4","khaki","royalblue3"
105.125,31.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","violetred4","khaki","royalblue3"
105.375,31.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","violetred4","khaki","royalblue3"
105.625,31.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","violetred4","khaki","royalblue3"
105.875,31.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","khaki","violetred4","khaki","royalblue3"
106.125,31.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","khaki","violetred4","khaki","royalblue3"
106.375,31.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","khaki","violetred4","khaki","royalblue3"
106.625,31.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
106.875,31.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
107.125,31.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3"
107.375,31.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3"
