"x","y","hosts","mammals","pig","cattle","bovliv","mmb","builtup","energy","trans","agriharv","pollution","forest_integrity_grantham","hewson_forest_transition_potential","pop_2020_worldpop","motor_travel_time_weiss","tile"
106.375,32.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",10784
106.625,32.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",10785
106.875,32.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",10786
107.125,32.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",10787
107.375,32.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",10788
105.875,32.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",10967
106.125,32.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",10968
106.375,32.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",10969
106.625,32.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",10970
106.875,32.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",10971
107.125,32.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",10972
107.375,32.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",10973
107.625,32.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",10974
107.875,32.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","khaki","khaki","khaki",10975
105.125,31.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","khaki","khaki","khaki",11151
105.375,31.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","violetred4","khaki","khaki",11152
105.625,31.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","violetred4","khaki","khaki",11153
105.875,31.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","violetred4","khaki","khaki",11154
106.125,31.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","violetred4","khaki","khaki",11155
106.375,31.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","violetred4","khaki","khaki",11156
106.625,31.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",11157
106.875,31.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",11158
107.125,31.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",11159
107.375,31.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",11160
107.625,31.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",11161
107.875,31.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",11162
108.125,31.875,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",11163
104.625,31.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","violetred4","violetred4","violetred4","khaki","khaki","khaki","khaki",11337
104.875,31.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","violetred4","khaki","khaki",11338
105.125,31.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","violetred4","khaki","khaki",11339
105.375,31.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","khaki","violetred4","khaki","khaki",11340
107.875,31.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",11350
108.125,31.625,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",11351
104.625,31.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki",11525
104.875,31.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki",11526
108.125,31.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","khaki","khaki","khaki",11539
104.625,31.125,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","violetred4","violetred4","khaki","violetred4","violetred4","royalblue3",11713
108.625,28.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",13461
108.125,28.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",13656
108.375,28.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",13657
108.625,28.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",13658
107.875,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",13852
108.125,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",13853
108.375,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",13854
108.625,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",13855
108.875,28.375,"violetred4","violetred4","violetred4","violetred4","khaki","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",13856
102.875,28.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14030
103.125,28.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14031
