"x","y","hosts","mammals","pig","cattle","bovliv","mmb","builtup","energy","trans","agriharv","pollution","forest_integrity_grantham","hewson_forest_transition_potential","pop_2020_worldpop","motor_travel_time_weiss","tile"
106.875,31.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","khaki","khaki","royalblue3",11158
107.125,31.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","khaki","khaki","royalblue3",11159
107.375,31.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","khaki","khaki","royalblue3",11160
106.625,31.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3",11345
106.875,31.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3",11346
107.125,31.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3",11347
107.375,31.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","khaki","khaki","royalblue3",11348
108.375,29.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","khaki",13265
102.875,28.875,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","royalblue3","violetred4","khaki","violetred4","royalblue3","khaki","khaki",13438
107.875,28.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","khaki",13458
108.125,28.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","khaki",13459
108.375,28.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","khaki",13460
108.625,28.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","khaki",13461
108.875,28.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3",13462
109.125,28.875,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3",13463
102.625,28.625,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","royalblue3","violetred4","royalblue3","violetred4","royalblue3","khaki","khaki",13634
102.875,28.625,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","royalblue3","violetred4","royalblue3","violetred4","royalblue3","khaki","khaki",13635
103.125,28.625,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","royalblue3","violetred4","khaki","violetred4","royalblue3","khaki","khaki",13636
107.625,28.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3",13654
107.875,28.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3",13655
108.125,28.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3",13656
108.375,28.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3",13657
108.625,28.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3",13658
108.875,28.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3",13659
109.125,28.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3",13660
102.875,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","royalblue3","violetred4","khaki","violetred4","royalblue3","khaki","khaki",13832
103.125,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","royalblue3","violetred4","khaki","violetred4","royalblue3","khaki","khaki",13833
103.375,28.375,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","royalblue3","violetred4","khaki","violetred4","royalblue3","khaki","khaki",13834
107.625,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3",13851
107.875,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3",13852
108.125,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3",13853
108.375,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3",13854
108.625,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3",13855
108.875,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3",13856
109.125,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3",13857
109.375,28.375,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3",13858
102.625,28.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14029
102.875,28.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","royalblue3","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14030
103.125,28.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","royalblue3","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14031
103.375,28.125,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","royalblue3","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14032
107.625,28.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3",14049
107.875,28.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3",14050
108.125,28.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3",14051
108.375,28.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","royalblue3","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3",14052
108.625,28.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3",14053
108.875,28.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","royalblue3","violetred4","violetred4","khaki","royalblue3",14054
109.375,28.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","royalblue3","khaki","violetred4","khaki","violetred4","violetred4","khaki","royalblue3",14056
102.375,27.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14230
102.625,27.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14231
102.875,27.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14232
103.125,27.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","royalblue3","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14233
103.375,27.875,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14234
101.875,27.625,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","royalblue3","violetred4","royalblue3","khaki","khaki",14430
102.125,27.625,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14431
102.375,27.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14432
102.625,27.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14433
102.875,27.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14434
103.125,27.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14435
103.375,27.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14436
101.625,27.375,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","royalblue3","violetred4","royalblue3","khaki","khaki",14632
101.875,27.375,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14633
102.125,27.375,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14634
102.375,27.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14635
102.625,27.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14636
102.875,27.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14637
103.125,27.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14638
103.375,27.375,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14639
101.375,27.125,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14834
101.625,27.125,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14835
101.875,27.125,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","violetred4","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14836
