"x","y","hosts","mammals","pig","cattle","bovliv","mmb","builtup","energy","trans","agriharv","pollution","forest_integrity_grantham","hewson_forest_transition_potential","pop_2020_worldpop","motor_travel_time_weiss","tile"
107.875,28.875,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",13458
108.125,28.875,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",13459
108.375,28.875,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",13460
108.625,28.875,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",13461
102.875,28.625,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",13635
103.125,28.625,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",13636
107.875,28.625,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",13655
108.125,28.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",13656
108.375,28.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",13657
108.625,28.625,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",13658
102.875,28.375,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",13832
103.125,28.375,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",13833
107.625,28.375,"violetred4","violetred4","violetred4","khaki","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",13851
107.875,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",13852
108.125,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",13853
108.375,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",13854
108.625,28.375,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","violetred4","khaki","khaki",13855
102.875,28.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14030
103.125,28.125,"violetred4","violetred4","violetred4","violetred4","violetred4","violetred4","khaki","khaki","khaki","violetred4","khaki","violetred4","royalblue3","khaki","khaki",14031
