"its","twss","ratio"
5,0.00000000215368345379829,0.00000000000000834922835355029
4,43854.6947872492,0.170012385296566
3,81834.6298108148,0.31724997019118
2,102829.999744684,0.39864314690709
1,110512.096307724,0.428424486558342
5,119725.974148155,0.46414411377459
4,125946.92998653,0.488261019525219
3,131065.243782281,0.508103290491494
2,136674.772240405,0.529849863308412
1,141378.112662169,0.548083398574022
5,145974.732693126,0.565903208734739
4,151197.028952954,0.58614859062979
3,156829.836967969,0.607985411777357
2,160069.613036492,0.620545117412258
1,163344.624934339,0.633241422501798
5,165745.211177117,0.642547823908187
4,167736.009164818,0.65026559086962
3,169434.714810949,0.656850997522578
2,171380.026248707,0.664392425852711
1,174046.630236794,0.674730103651072
5,175464.78401619,0.680227889188563
4,176845.884521305,0.685582029545668
3,178166.029979342,0.690699864234705
2,179434.14683697,0.695615998592635
1,180521.471831075,0.699831253464142
5,181933.468122271,0.705305168142163
4,183844.216552929,0.71271260536123
3,185009.05872847,0.717228372663191
2,186124.355401077,0.721552065908422
1,187129.14717982,0.725447362588954
5,188129.999717323,0.729327387933021
4,189258.219063961,0.733701178770928
3,190898.399628642,0.740059700052888
2,192565.044159333,0.746520814728954
1,193689.057926382,0.750878301711116
5,194656.572910338,0.754629086684778
4,195763.59467843,0.758920700439738
3,197215.692035819,0.764550075734907
2,198946.492789305,0.771259906141909
1,199663.159574557,0.774038222812784
