"known_sarbecovirus_bat_host"
"Aselliscus stoliczkanus"
"Hipposideros armiger"
"Hipposideros galeritus"
"Hipposideros larvatus"
"Hipposideros pomona"
"Hipposideros gentilis"
"Hipposideros pratti"
"Hipposideros ruber"
"Miniopterus schreibersii"
"Chaerephon plicatus"
"Tadarida teniotis"
"Rhinolophus acuminatus"
"Rhinolophus affinis"
"Rhinolophus blasii"
"Rhinolophus blythi"
"Rhinolophus cornutus"
"Rhinolophus creaghi"
"Rhinolophus euryale"
"Rhinolophus ferrumequinum"
"Rhinolophus hipposideros"
"Rhinolophus luctus"
"Rhinolophus macrotis"
"Rhinolophus malayanus"
"Rhinolophus marshalli"
"Rhinolophus mehelyi"
"Rhinolophus monoceros"
"Rhinolophus pearsonii"
"Rhinolophus rex"
"Rhinolophus shameli"
"Rhinolophus siamensis"
"Rhinolophus sinicus"
"Rhinolophus stheno"
"Rhinolophus thomasi"
"Nyctalus leisleri"
"Plecotus auritus"
